,essay_id,essay_set,essay,domain1_score,domain2_score,split,llm
704,4223,2,"Books, magazines, movies, music, etc, are all good to read, watch or listen to.      When I listen to music or watch movies or even read books sometimes. I wonder how do people come up with these ideas.The real reason is why people listen to music, read books watch movies are so offensive. In todays world you got music with all this negative stuff about people, talkin about people, with the curse words its not a good look for the people who make the music or the people who listen to the music. I feel that that stuff not be allowed in the shelves and it should be removed. Parents dont want there little children hearing that negative music. When they grow up they are going to be like them because everybody sings there songs and everything else.     I feel movies should not be removed from the shelves. The reason i say is because movies are funny, scary, sad etc.Sometimes u need the offensive in a movie, with out that it would not be good most of the time. One of my favorite is @CAPS1 @CAPS2 and it was about character from the past @CAPS1 and @CAPS4 get back together and do one more mission. That movie was offensive but u still have a good time watchin it because its has the nice cars and good character. Movies should never get removed from the shelves cause out offensive of movies it would not be fun.People can not go to the movies with there friends and have a good time.If u are taking little kids out make sure u pick the right movies for them.To conclude argument Music is not bad thing to listen cause u have good music to but all im saying is make sure to watch what u listen to and get in trouble trying to do what they say in there music.To the movies keep comming out with good movies and keep making the movies good",3,3.0,train,Score: 2
705,4122,2,"Should certain materials, such as books, music, movies, magazines, etc., be removed from shelves if they are found offensive?     I do not think that certain materials should be removed for many reasons. Many different people have many different thoughts on whats offensive and what isn't like some people will find something funny that some people @MONTH1 think is nasty or inapropiate. If you was to take things off the shelves that someone found offensive there probably wouldn't be much left on the shelves because everybody has they're own oppenion. I agree that certain things shouldn't be seen by young eyes but thats the parents decision, not everyone has the same view on the material.     Certian materials should not be removed from shelves because of one persons oppenion on it. Everyone has they're own oppenion, some people like what other people don't everyone is different in they're own way",3,3.0,train,Here’s the breakdown of
708,3952,2,"First of all i believe if its on the shelf you should be able to get it, no matter what your age is. Yeah theirs thing's that shouldn't be on the shelf, but how are kids and people supposed to know to get that or not. If kids arnt alowed to get certant material on the shelfs, Then it shouldn't be their, @CAPS1 my oppinion.     Parents @MONTH1 think differnt, parents might think only certant things should b alowed at a libray. @CAPS1 not their choice though. Anything is alowed to be at a libray. If you dont want your kid reading or getting certant thing's, then when your kid goes to the libray go with them. Help them pick out a book.     In conclusion i believe you should be able to check anything that is on the shelf. Kid or if your an adult. If your not alowed to get, then why is it their? I dont know i couldnt anwser that question, other than why is it their? @CAPS1 my oppinion though",2,2.0,train,Here’s the breakdown of
709,4753,2,"I know that some people find some books offensive mean cruel or racist but most of the time people write @CAPS4 beacuase its what they feel or what people want to read. Books are a privlige and we should be able to use that privledge. People need to learn that its ok that books are sometimes are a little harsh. The @CAPS1 is not the most friendly place ever and books can help convay that with less hurt then  experencing @CAPS4 first hand.   I know that all books should be left on the shelfs becuase just because its offensive to someone doesnt mean that you should take @CAPS4 off. For every book someone will find @CAPS4 offensive because of somthing. If the cause is if its offensive then all books should be gone. If someone took the time to go out and write and book and make sure that everything about @CAPS4 is correct then why should we stop them from letting people read @CAPS4. They have a right to write @CAPS4 and we have a right to read @CAPS4 and no one should take that right away. If someone wrote a book on the hollocost people are very offended by that but they dont try to get ride of @CAPS4. so why should any book be different because its not a big event like @CAPS1 @CAPS2 @CAPS3. Its just seem so upserd that people who go to such lengths to get rid of a book just because they are offended by @CAPS4. I think they just need to suck @CAPS4 up and move on. if they dont like @CAPS4 then dont read @CAPS4. Someone who wants to can so do not take that away from the people that want to read @CAPS4.      I remember a time when someone wanted to read a book in are library and they said,'oh you cant read that because @CAPS4 was found to offencive.' @CAPS4 made me uphald that they would deciede how someone els feels about a book. @CAPS4 makes me so angry that they get to dicied how someone els feels about a book. they must be magic becuase I did not know that they know how someone els feels about a book or anything for that matter. we do have books here that are kept behind the librarians desk that if you really wanted to read that book its behind her desk. and im ok with that beacuse at least they have @CAPS4 for people to read if they really wanted to. This is what i think should happen if they have books that they think is too offensive to people. At least try to give an effert to perserve are right as citizens of the @ORGANIZATION1.     Lets throw an other aspect here about money. the book that you want so badly gone from a library was most likely payed by you, the tax payer. So you and a lot of others payed for this book and now you want to wast that money. That is just insane that you would want to wast that money after @CAPS4 being payed for. This just make me want to say wow do you really want to be that upset about a book. Does @CAPS4 make you feel better that you got all worked up over a book and now its gone. Well good for you mission accomplished. All you did was get worked up and you wasted money. People just need to relize the bigger picture not just themselfs but others. In them taking down a book because you were offended, offends me. This offends me a large amount because now you ruined somthing that was not nessisary to be taken down.     This is how I feel about this subject. I am very upset that people would do this and go to such lengths to ban a book away from a library. If you wrote a book and people did this to you how would you feel. I know that you would feel like dirt that someone would do this to your hard work. People need to just calm down and smell the roses and forget about things that do not matter. Stand back and think for a second and say,'will this really effect me if i get this book taken off the shelf.' @CAPS4 also make me mad that the libary bought the book and now its gone so did the money just go to waist becuase the book is just gone. This is how I feel on the matter of getting ride of books.",4,3.0,train,Score: 2
710,3418,2,"Dear @CAPS1 @CAPS2,     I strongly agree that certain materials should be removed from the shelves if they are found offensive. There are young chirlderen that will pick up a book, movie and/or @CAPS3 case, or even a magazine and read off whatever the front says. We @CAPS5't need younger childeren reading off whatever they know what to say. @CAPS7's already bad enough that they hear @CAPS7 from family members or @CAPS2 near them. The seller could also make an edited verison of the book, movie, @CAPS3, or magazine.      The sayings,'You @CAPS5't like @CAPS7, than @CAPS5't look.','@CAPS5't got anything nice to say, than @CAPS5't say anything at all.',and 'If you wouldn't want to hear @CAPS7, than @CAPS5't say @CAPS7.',strongly apply to this. The way this world is coming to, @CAPS7 seems like they @CAPS5't really mind who sees their product, as long as @CAPS2 are buying their product.     Now a days, @CAPS7 seems like the younger the child is, the smarter @CAPS7'll be. If a four-year-old picked up a @PERSON1 @CAPS3 case, saw a pretty much naked grown adult on the case doesn't put a good thought in their head. That child's gonna grow thinking, '@CAPS7's okay to be naked. @PERSON1 did @CAPS7. Why can't I?'. Childeren learn more things from family and freiends, before they start learning the truth in school.        @CAPS7's just like you wouldn't want to take your child to the @CAPS8 @CAPS9, half naked to naked woman just walking around freely. Not something a little five-year-old needs to see. Just like a little five-year-old doesn't need to hear cussing or using the @CAPS10 name in vien.     Having young childeren see, hear, say, think, or read things like that puts thoughts in their heads, making them think @CAPS7's okay to say whatever you want or to dress however they want, while they think @CAPS7's perfectly natural. Although, this @MONTH1 seem like a huge wake up call to some parents, but @CAPS7's not normal. @CAPS7's not more normal than telling your kids that they were a mistake. Things like that shouldn't be said to/ near childeren.      Every parent wants the best for their child, they @CAPS5't want their childeren growing up in world that is full of bad nor do they want their childeren doing wrong. By letting companies sell their prodcut with half naked @CAPS2 on the front cover of a magazine or @CAPS3 case, or by selling books that talk about murding someone, hiding the body, and prays to @CAPS12 that they @CAPS5't get caught, or by playing music that is offensive in stores with younger kids, let's them think that they can sell whatever they want, promote their music where ever they want, makes the companies win.      I'm not a mother, nor am I soon-to-be-a-mother, but I find @CAPS7 highly offensive that companies and stores would do that. i wouldn't want my child looking at a magazine than asking me questions about the @CAPS2 nearly naked, or have them ask me what a word means when @CAPS7's a cuss word. I certainly wouldn't buy a book that just looks strange or offensive to my child.      As well, I strongly do believe in '@CAPS13 of @CAPS14', so the companies, in a way, do have a right to sell their product how @CAPS7 is. Just, if they really wanted to selll their product that much, that bad, than they should sell @CAPS7 online. @CAPS7 @MONTH1 cost more, but at least everyone would know that their childeren wouldn't see @CAPS7. Although, once you owned @CAPS7, than @CAPS7's the buyers fault if their child saw @CAPS7. That would be on the parents plate to deal with.      Another thing with childeren, is that their brain is still developmenting at that young age, their imagintion is beyond fairy tale world, @CAPS7's kinda like their second home, only @CAPS7's inside their brain. Their brain is still developmenting and learning new things each and everyday. Once they go to the store with their parent (s), they're already jumping up and down off the walls for a new toy or a new pair of shoses, or just because they wanna run up and down the alies, @CAPS7's bad enough having them see something inopporty.      I know I wouldn't let my childeren see things like those and I'm about @PERCENT1 certain you wouldn't want your childeren seeing those things. So, for the childeren's sake, think of them, their minds, and their developmenting brains and their off the wall imagaintion. Treat the childeren how you were treated growing up.                                   Thank You,                                   @PERSON2",5,4.0,train,Score: 2
711,4012,2,"My views on censorship in libraries are alike in many different ways.     Certain materials, such as books, music, movies, and magazines should be removed from libraries if they are found offensive to more than just one person.  If they are not that big of a problem they shouldn't be removed.       People might change their mind about going to that particular library, if they find a lot of offensive things there.  Also having these offensive things in libraries greatens the chance they could be read by the wrong minds, and it could possibly change how most children act, or think.  A few things that I would find, that would bother me are books or magazines that contain drugs, nudity, horrible violence, and bullying.     From my own experience, having books that contain these types of problems are very offensive to most parents and can effect the way you live, if you take them seriously.  Some libraries don't even realize that they have these offensive books, magazines, or videos.  I have had a teacher take a book away from me and I got in trouble for reading it, even though it was in the library where anyone could have grabbed it off the shelf and read it.  In my opinion I think libraries should take the time and look through the books they have and decide whether or not they  are considered offensive to parents if their children were to read them.     I agree with removing certain materials that contain offensive things, from all libraries.  Also I believe if parents could choose they would decide to get rid of all the mean, nasty, and offensive materials",4,4.0,train,Here’s the breakdown of
712,3859,2,"I do not feel these types of things should not be taken off the shelves.What i think is that thing should come with a rateing because  this is a free country and for some one to do something like that it would be takeing away someone's freedom of speach.To many people have faught in the past for just simply freedom of speach.I think that if people rate the  thing's  that come out then they will not go in to the wrong hands. That's like saying they should have taken @CAPS1 @CAPS2 @CAPS3 when it first came out off the market because it has violance in it ,profange language,and guns that company will had lost a lot of money because it is inapprotive for kids.I think that parent's shouldn't go buy a @NUM1 or @NUM2 years old something like that but some parents do .It not the creaters fault of the actions of how people react to what ever is put out there because the buyers have to be more responseable and make sure that what ever it is is supervised and carefully montoired. There's an old saying ' every thing isn't made for every body' .I strongly belive that;That saying is so true .Every body don't like the same thing that some one eles likes but its okay for that person but it's not okay for you because as they say everything isn't for every body and you can't fource nothing on some one.Well every thing isn't approtive  for every one we all have are limites to every thing and if you watch what kids watch and do than things want be so inapprotive for this wold . Certion books young children should not read because they have sex in them and they talk about things that a child should not even be thinking about at that age.When children read books like that they tend to think about sex and how what they read about will feel but children should not be thinking about that type of stuff that why its there parent's responseabitly to montoir what there children read because that there job as parent's to do not the person who wrote the book because they @MONTH1 think there writing to a much older group that can relate to what there talking about but then again there just speacking there mind and infourceing there freedom of speach right one of the rights that we as a people together have been fighting for .I also feel that music help's us to express are selfs so if someone feels that the music is inapprotive for there child then they need to watch what there child is listen to.Music brings out the different moods in every body.All magazines are not for every one because as we all know there are adult magazines the produce certion imagary that children should not see but you can not blame the creater only the buyer is in fault for leaving it in the wrong place after there done with it .There just people trying to make money  off things that they know that people like.",3,3.0,train,Score: 2
713,3956,2,"Censorship can be a very good thing. It keeps inapropriate material from falling into the wrong hands. It also keeps the horrors that are in the sensored material out of the community and that makes the community a better environment to live in. But too much censorship can become a bad thing. For instance @ORGANIZATION1 had an extreme censorship policy when he was burning all of those books. There also several books that talk about the censorship idea getting out of hand like the book @CAPS1 @NUM1. Libraries should censor some of there material.      Books and magazines need to be censored according to there content. Books and magazines both use words and sometimes pictures to get there point across. If a book is using vulgar and inapropiate language in should be in some way censored. With this in mind I should not be able to pick a book and open it to find sexual dialog. I also shouldn't be able to find the constant use of swear words in a book or magazine. Also lots of people get offended with violence and lots of gore. Magazines and books also use pictures to help get there point across. If there are inapropriate pictures in either of the two sources that material should be censored. If I am walking through my local library and just see a magazine sitting ou with a nude picture on the front I'm going to wonder about my library's censorship policy. Another example would be that I pick up a book and start looking through it and it has an inapropiate picture in it, I am going to wonder about my library's censorship policy. Also if a magazine has an extremly violent picture or extremely gorey picture it should be cnesored. Overall if a book or magazine is extremely inapropriate, then it should be, in some way, censored.     Music is another form of media that can be found at a library that should be censored. Musicians use artwork on the album sleeves to grab the attention of people. If that artwork includes swear words or inapropriate pictures it should be in some way or shape be censored. Musicians also play music of course. But if the lyrics to there songs are explicit or has many sexual themes it has to be conesored. Someone should have to deal with wading through music like that. No matter what, if an album of music is out of this world inaproiate, it should be censored.     Movies are most likely the hardest things to sensor. This is because they use language, pictures, music, and video. Movies are multi-media monsters that can sometimes be very clean, and sometimes be very inapropriate. If a movie is rated @CAPS2 it should not be in a public library. Movies that are rated @CAPS3 for seual content, nudity, drug use, alcohol abuse, or swearing should be censored. A kid should not be able to get his hands on that kind of stuff in a public library. Also depending on how violent and a gorey a movie is it should be cenesored. Movies that are inapropiate, especially ones rated @CAPS3, should be censored.     The fact that this debate even needs to happen is sad. But it does so we must censor certain things that people @MONTH1 get a offended by if they saw it in there public library. Things containing nudity, sexual content, swear words, gore, and violence to possibaly be censored. There also needs to be a line where we stop sensoring or pretty soon, just like Katherine Paterson said we won't have any books left. But overall there needs to be some type of censorship in public libraries.",4,3.0,train,Here are the key issues
715,4290,2,"Almost every city in the @LOCATION1 has a public library. A place where the citizens can check out books, music, movies, magazines and more. Inside a library, there are different sections. There are kids sections, adult, fiction, and many more. Just like any ordinary store, there are items in a library that are not subject for children. A common question has been coming up everday life, 'Should we remove these offensive items from our shelves?'                                               Libraries have been around for years and so have uncensored things that are being put in front of children. As a child, you want to explore and know everything. Bad things will always be put in front of you as an obstacle to make the right choice. Just like these degrading items found in everyday stores, libraries, or in general everywhere you go. A library, however, is not just intended for adults, teenagers, or young children. A library is made for everyone's access and not everyone is alike. Therefore there is plenty of variety in these libraries. It should never be a libraries fault for containing things not appropriete for children in my belief. Almost every library is very organized into categories. If children are separated and exclusive to adult material, I see no problem in having these items on the shelves. When I visit a library, these items are very out of reach for children. Society knows what should and should not be brought upon a child, so they know not to put it in any reach of children.                                           'All of us can think of a book that we hope non of our children or any other children have taken off the shelf.' said Author, Katherine Paterson. Katherine makes a very valid statement. If I have a child one day, I could think of plenty of materials I would hope my child never came acrossed. However, as a parent it is their job to protect their children from these things. Coming from a teenage perspective, at a young age, I was very clueless about all the terrible things sitting around me. A majority of children would not be able to get their hands on such uncensored items, nor would they understand them if they did.                                                         There are things in this world that are much worse for children to see then taking a quick glance at something not for their age at a library. If anything, concerned parents should be paying more attention to what their children come in contact with at stores, the people they are around, or what they are listening/watching. The internet is probably the most uncensored place a child can come acrossed. Reaching out to libraries about what they put on their shelves should be of their least concern compared to what is really out there in life.               I do believe that no children should be handed or put in front of uncensored adult conduct because one-hundred percent unacceptable. If these items were placed in spots where only adults can get ahold of, then I see no problem in the situation. The children of our generation and more to come will always encounter something they should not be put in fron of. However, that is life and there will always be something come up in your life that you should not witness or be apart of. If libraries continue to keep these items out of reach of children, then there should be no censorship in libraries.",4,4.0,train,Here are some key observations
717,3708,2,"Everyone likes to watch movies, jam to some music, and get lost in an interesting book. Therefore everyone should be able to read, watch, or listen to what they want and the same things as other people are reading, listening to, and watching. Some things are needed to look up or look at if one is doing a project. Other people just @MONTH1 be entertained by certain peices of liturature, or music. In that case, why censor certain things that people are interested in, or even things to research, in libraries?     Many people enjoy violent writing or gorey movies. Reading these things also amusses them. So why take away what they like? If a library takes certain books off of their shelves, then they could be taking away a type of literature that people are interested in. If one removes a book that twenty people take pleasure in reading, then thats twenty people that are not going to want to read anything else. People are different in many ways. That includes the variety of things humans are interested in. For example, things they are interested to read. Humans having a major differences in characteristics, meaning they don't enjoy all the same things. The articles, magazines, or movies @MONTH1 be not suited for schools or libraries, but if it's a topic people like, or if it's someone needs for a project, then there is no reason to get rid of it.     Some books offten offend certain groups or races of people, but the book gets it uniqueness from what it says. Some books are writen in times of racisim. This shuold'nt make a book worth critisizing because that was the way things were said in that time. It allows the book to give off a feeling of living in the time is based in. On the other hand, some magazines are writen about horrible events and wars, but people find entertainment in reading about these events going on in the world. They want to know what is really happening across seas or even around home. Someone isn't able to know what's happening is no one lets him or her read the magazine.     Authors and writers write these things for the entertainment of people who want to read them. Due to the wide veriety of interest people have, there are many different types of writings. People should'nt have their favorite book taken off shelves just to see that the guy right next to him found the book he loves. That just would'nt be fare. Libraries should put on the shelf what people write, so that others @MONTH1 enjoy them.",4,3.0,train,Here’s the breakdown of
718,4156,2,"I think other materials in libraries such as music and art should stay active in public libraries or school libraries. They show symbolic meaning to the ever changing world as we know it. People have different beliefs about anything, I don't care what you say everybody still has a different opinion about anything and everything. So just keep believing what you want to believe that's fine, but don't ruin it for others, you ever heard the saying, '' if you don't have anything nice to say then don't say anything at all'', well they should remember that saying and stick to it.In my years of being in school nobody has protested about certain reading materials in public libraries because everyone read what they liked because the library supplied people with the material they wanted to read. Let's say a person wanted to read a book about the fall of the wall of @LOCATION1, the library says they do not and will not carry such reading history, the person will be angry even though they can find the book somewhere else but they should still be able to find that book in that library. That is history in this world and they should know it. That compares with people wanting to destroy history made in this world, history people risk there lives for to be recognized in this world, this compares with the topic fully. I hope that this essay will give the protesters a second thought on the topic they are bickering about. That will be all",3,3.0,train,Score: 3
721,3209,2,Hi my name is @PERSON1 I have a couple topics that I would       like to talk to you about. I have been hearing alot of people          talking about libraries taking alot of there stuff off the shelves      well I think that that the libraries around the world have alot        of information inside of them and if we started taking                  information out of them then what would be the point in              having them. I think that everything in libraries are very               important and who is to know that everybody wants this to          happen. The one thing that I dont really think that libraries           need in them is movies because like pretty much every movie      has a book that goes with it or is the same thing pretty much.       And lets get on with the whole offensive thing I think everone      should be mature about all the negative stuff people can say         even if it is hurtfull. Though I think that the more people read      about what people are saying about them is the less that              they are goin to care because they are goin to just be so used       to it that they are not even goin to know what they are                talking about. If there was one thing that I could tel the world      it would be dont be offened by what people say to you.,3,2.0,train,Score: 2
722,3846,2,"Censorship, a very sensitive topic. @CAPS1 are so many things people dislike, so they censor @CAPS2, hiding the idea's from the people who don't know about @CAPS2. I personally detest censorship. I would rather the world be an educated place with minor dangers, then a place where everything is kept secret and safe.     You must be thinking, '@CAPS1 are some things we have to censor, @CAPS2 can harm our childrens minds.' But in truth, your children will find out about @CAPS2 in the real world eventually anyway.  In reality, drugs, alchohol, sex, rape, violence, and all the other things you censor are common things that your kids will hear about. Most children first hear about @CAPS2 in school, normally elementary, and if not they will definately find out in junior high. If they will eventually find out anyway, wouldn't @CAPS2 be better to let them find out the easy way?     Now you must be thinking, 'But if they find out too young, @CAPS2 could tramatize them.' That is a risk, but most teenagers are more tramatized anyway when exposed to @CAPS2 without any prior knowledge. If they already know what their dealing with they would know how to react, but if they have no knowledge of whats going on they could make a major mistake without even realizing @CAPS2. Once again, wouldn't @CAPS2 be better they find out from you or a book, then find out the hard way?     Now, you @MONTH1 be thinking, 'Our children must be protected, this knowledge could just put them in more danger.' @CAPS2 @MONTH1 put them in more danger, @CAPS2's always a possibility. The world is full of possibilities though, anything could happen. This knowledge that you always hide from them @MONTH1 be what they need to know later on, and wont know when they need @CAPS2. What would they do if they see their friends start doing drugs, and since they have never heard of drugs, they don't know @CAPS2's a bad thing to do? Or if they see older kids drinking, and are offered a drink, but dont know they shouldn't take @CAPS2? Or if they wind up kissing someone they like, and @CAPS2 goes too far, but they don't know what their doing?      Anything could happen, and your children need to be prepared. If they don't know of these things, they can't tell if what their doing is good or bad, and they @MONTH1 wind up getting in trouble or hurt. Tell them, or let them read the books you always censor at the libraries so that they know. Life is full of risks, so let them know, that way when the time comes their ready.",4,4.0,train,Score: 3
723,3758,2,"The question is, should we censor materials in libraries if it is offensive?  In my opinion I dont think they should censor the material.  Some things that we read, see, and hear are just going to be offensive, and we cant control everything that offends us.     I do agree that people have freedom of speech, but not over everything.  People need to stop over reacting to something that might have been said @DATE1.  Some things just need to be left in the past and kept there.  For example, some @CAPS1 @CAPS2 are still upset over slavery, and that happened over a @NUM1 @DATE1 @DATE1.   Censoring certain things means that people are not going to learn from the mistakes of our pass.      We need to stop all this over protection in our libraries of all places.  Children need to know what has happened in our past to see what they can change in our future.  Why? Why is my only question to why the people want to censor material in the libraries.  Are they trying to keep their children from seeing it or just for their own selfish reasons?       My conclusion is that they should not censor material because it offends someone.  I have been offended by lots of things that I have read but I dont try to get them censored or removed from the place I read it.  Sometimes you just have to deal with things that you dont like or dont agree with sometimes.",3,3.0,train,Here’s the breakdown of
724,4129,2,"'Everyone has @CAPS1 @CAPS2'     @CAPS3 is true that everyone has their own @CAPS2 and their likes and dislikes. For example, books. I do not like books that are about illegal substances, but I do believe removing certain materials that are offensive should not be removed from the shelves in the library. @CAPS3 is true that finding inappropriate book or an article @MONTH1 be disturbing to certain people, but @CAPS3 does not mean that everyone finds @CAPS3 offenive.     Once, my @CAPS4 class was assigned to do a book project. The main pourpose was to find a non-fiction book and create a powerpoint presentation on the main ideas of that book. One of the classmate read and had a breif presentaion over a book that was about illegal drugs. I know in fact that not many people are offended by the words such as 'drugs' or 'alchol', but I find these words to be obnoxious. While I found @CAPS3 disturbing and uncomfortable, others found @CAPS3 interesting. @CAPS3 was a topic that drew their attention, but not very appealing to me.     Another example would be the time I went to the library to write a research paper about the human body systems. My friend, @LOCATION1, found @CAPS3 disturbing to look at some pictures because @CAPS3 showed blood. Strangly, I never thought blood as anything disturbing. While @PERSON1 found @CAPS3 disgusting to look at, my head was in the book because @CAPS3 was fascinating. I always thought how the human body works is incredible. What @PERSON1 did was instead of trying to deal with the picture, she wondered off and tried to find another book that does not have any grotesque pictures. The book did not have any benefit to @LOCATION1, but because of that book, I received an 'A' on the research paper.     I believe @CAPS3 is important that people accept the fact that everyone does not have the same opinion. Every individual is different in their own way. As I mentioned before, the book that was disturbing to me was interesting to others and vice versa. That is normal and there is nothing we can do to change about @CAPS3. If permission were given to remove any certain materials that is offensive to each and every person, I guarentee that there would not be any material left on the shelves. I think the best way to solve this problem is for he/she to ignore the book that seems to be offensive and look for different material because others might need the resource",4,4.0,train,Score: 3
725,4735,2,"I think that if the books,music,magazines,or movies you have in a library is not offensive, then they have the right to put them on the shelfs.Theres nothing wrong wit havin music and magazines at a library because what if someone doesnt like to read but loves listening to music or doesnt like to read books but likes to read magazines.I think its all right to have movies too.They could have alot of educational movies of just some plain regular movies of all kinds.Now if a book or movie or magazine or music was found and it was offensive then they should be takin off the shelf.If the books,music,movies, or magazines are not offensive in any way, they have the right to be on does shelfs so everyone can use them.",2,2.0,train,Here’s the breakdown of
726,4601,2,"Your @CAPS1     @CAPS2 are many things done and said in this world today that people take offense to.  It could be something someone said about one's relgion, or taking away @CAPS1 of others. Do you believe that books, music, movies, magazines, and articles should be taken off the shelves at stores just because people find it offensive?  I don'@CAPS3 believe it should work that way.  @CAPS2 are a variety of different relgions, races, and beliefs in this world, so if we took something off the shelf everytime found it offensive we would have nothing left to sell.     When it comes to younger children they are not going to know what to think and believe. When seeing and hearing things, children start to believe it.  The media that adults find offensive should not be published and out in the open for children to see and listen to. Even though the kids @MONTH1 not take offense to any of the media, you still have to think about the parents and what they believe is right for their children. Many effects on life are put into the media everyday for everyone to see, and some parents @MONTH1 not find it suitable for their children to be hearing about it.  Drugs, alcohol, and curse words have a big effect on children and their lives today. I believe it is our responsibiltyto protect from all harm until they are old enough to fight for themselves, and make their own judgements.     Our religion is a big part of your life because it determines what we believe in, and in we think is right or wrong. Your parents teach you the way they want you to act and teach you the difference between what they think is right and wrong.  I was taught to always be respectful to others and try my hardest in whatever it is I @MONTH1 do.  Some people @MONTH1 have an actor or actress as their role model, so whenever they see that certain person on @CAPS3.V., you tend to think that whatever they do is okay for you to do.  Some parents @MONTH1 take offense to a show on the television because they don'@CAPS3 believe that is right for their kid to be watching.  While others don'@CAPS3 see a problem with it.  So if we cancel that show on @CAPS3.V., you are making one family happy and many others upset. When it comes to the movies, people have their own different ratings for movies, but the state rates them whenever they come out.  Now at movie theaters you must be eighteen to see a @CAPS5 rated movie, or you must have a parent with you because you going by yourself and your parents not knowing get upset those of manys.  With libraries and movie theaters they have what the state thinks is for adults only in their own little section. My parents believe that if @CAPS2 is a law for something it is @CAPS2 for a reason and we are going to obide them.  As with some parents they have their own rules.  Such as some parents think it's okay for their children to drink under age as long as they stay home with them and they know what is going on.        A few years ago my little cousin was watching a movie with me that was rated @CAPS6.  I didn'@CAPS3 think anything of it and just turned they movie on and we watched it.  It had a few words in it that his parents didn'@CAPS3 agree to him watching, and he really liked the movie.  His favorite quote from the movie was something his parents did not want him hearing at his age.  He didn'@CAPS3 know any better and since he thought it was so great, he was walking up to people saying that quote.  His mother was not happy and asked where he had heard it from and he told her the movie, and she didn'@CAPS3 think that he needed to be saying that and he got in trouble.  I told her it was my fault, I let him watch the movie and didn'@CAPS3 think anything of it because my parents let me watch it when I was his age.      It just comes to show that, @CAPS2 are many different things in this world today that not everyone is going to agree on.  So if we took something off the shelf because someone took offense to it, we would have nothing left in this world today.  We learn about the things we do in life because the state has requirements that have to be passed.  What we learn outside of school is up to your parents based on what they believe.  So if @CAPS2 is something out @CAPS2 you don'@CAPS3 believe in stay away from it, and let those who do believe in it enjoy learning about it",3,3.0,train,Score: 2
728,4482,2,"Books, music, movies, magazines, ect. should be remove if they are offensive to a race or any other kinds of belifs unless they are biogical or historical time line.  If the reading material is so offensive towards you or your belifs, you @MONTH1 want to see a libarian and tell what you think about so that the reading material will be remove off the sevles and gone.     I think that if it goes against something in a bad way is should be removed and gone.  I've read a magazine before and it had some offensive stuff.  I went to the libarian, told her that i wanted this magazine off the shelves.  We argued for about five minutes and finally the magazine was off the shelves.       Nobody wants something to go against them in anyway.  Thats way we should have offensive material off our libaries shelves.",3,3.0,train,Score: 2
732,3202,2,"Books that are found offensive should not be taken off of library shelves. Books tell stories fiction or non-fiction. Many books that @MONTH1 be found offensive are historical. These books could include topics such as wars, eras, people, ect. Everyone has the same rights to read any book they want. They also have the right to not read the book at all.      Books that are taken off the shelves of a library because of one person, or a group of people, being offended henders the ability of someone who wants to read the book, to read the book. We, as people, should not be able to take this right away from other people. They should be able to read anything they want. If someone wants to read a biography or history about @CAPS1, they should be able to.      The topic of @CAPS1 and the @ORGANIZATION1 @MONTH1 be found to be offensive because of what they stand for. If we look at the topic as purely a historical reference not as a story to be read for enjoyment there will never be any offence in these books. These stories have a large role in history. If we do not learn from their mistakes, history @MONTH1 repeat itself. History is around to be studied, even if the topics might be offensive to some people.     Political correctness can not always be followed when writing a story. Such as in To @CAPS3 a @CAPS4. This book has many issues when it comes to political correctness. These issues include; the killing of an innicent man and revealing the flaws in our judicial system, the use of the word 'nigger' to describe the black characters, and the racial unequality of the @LOCATION1 duringthe @DATE1's. These issues would deffinately be offensive to some readers, but this book is an award winner and uses history as a guide. The situations in this novel are ones that could be real. They are things we must learn about, so we do not repeat them.     Another story that fits quite well into this topic is @CAPS5 @NUM1. This novel is about a world where all books are burnt. No books are allowed to be read by the people. This book reveals the removal of offensive books to its exteme. No matter who you are or what you believe, there will be some topics that you find offensive. If we remove every book that someone finds offensive we will have no books on the shelves of any library. A library is not a library wihout its books.     If we allow books to begin to be removed from the shelves, we will not be able to stop it. One day we will end up like the world in @CAPS5 @NUM1. No history will be know but what is passed down. No more stories will be here to entertain us, but the ones memorized. No books will exzist and this world would be terrible without books.     Books that are found to be offensive should not be taken off of library shelves. The taking away of these books takes away the freedom to read anything you want. It reduces the chances we have to learn and to flourish. Political correctness should not take the place of our own freedom, and as long as we keep our books on their shelves, it won't",5,4.0,train,Here’s the breakdown of
